name,lat,lon
Dynamic Industries,52.33548,4.859922
Dynamic Industries,52.381847,4.888516
Dynamic Industries,52.380398,4.82372
Dynamic Industries,52.363747,4.83779
Dynamic Industries,52.364208000000005,4.9053580000000006
Dynamic Industries,52.359840000000005,4.861943
Dynamic Industries,52.347797,4.904778
Dynamic Industries,52.362465,4.913075
Dynamic Industries,52.366797999999996,4.893765
Dynamic Industries,52.315277,4.955280999999999
Dynamic Industries,52.37138,4.85796
Dynamic Industries,52.297112,4.975055
Dynamic Industries,52.378613,4.845948
Dynamic Industries,52.356651,4.79336
Dynamic Industries,52.367134,4.888799
Modern Group,52.355796999999995,4.825993
Modern Group,52.296944,4.987549
Modern Group,52.361549,4.94068
Modern Group,52.422503999999996,4.896065
Modern Group,52.369431,4.902561
Modern Group,52.361549,4.94068
Modern Group,52.352965999999995,4.902344
Modern Group,52.385674,4.88353
Modern Group,52.357867999999996,4.901590000000001
Modern Group,52.374207,4.937899
Modern Group,52.294533,4.976122
Modern Group,52.315659000000004,4.976755000000001
Modern Group,52.350433,4.923957
Modern Group,52.375237,4.872966
Modern Group,52.294353,4.957171
Modern Group,52.343468,4.906007
Modern Group,52.35614,4.9268849999999995
Modern Group,52.294353,4.957171
Modern Group,52.34333,4.906152
Innovative Industries,52.345863,4.811772
Innovative Industries,52.37664,4.8189589999999995
Innovative Industries,52.314575,4.955227
Innovative Industries,52.407238,4.90217
Innovative Industries,52.36998,4.881528
Innovative Industries,52.354645,4.890167
Innovative Industries,52.347797,4.904778
Innovative Industries,52.417384999999996,4.892918
Innovative Industries,52.366721999999996,4.870157
Innovative Industries,52.391209,4.913115
Innovative Industries,52.37867,4.883832
Innovative Industries,52.34325,4.906619999999999
Innovative Industries,52.388477,4.837522
Innovative Industries,52.396834999999996,4.951975
Innovative Industries,52.294353,4.957171
Innovative Industries,52.358631,4.85487
Innovative Industries,52.378593,4.884162
Innovative Industries,52.367134,4.888799
Innovative Industries,52.349133,4.839996
Innovative Industries,52.423279,4.88978
Innovative Industries,52.350719,4.853852
NextGen Corporation,52.379047,4.80129
NextGen Corporation,52.422503999999996,4.896065
NextGen Corporation,52.353832000000004,4.869397
NextGen Corporation,52.359840000000005,4.861943
NextGen Corporation,52.380054,4.899697
NextGen Corporation,52.36253,4.925155999999999
NextGen Corporation,52.325779,4.859865
NextGen Corporation,52.390633,4.9140489999999994
NextGen Corporation,52.326240999999996,4.88315
NextGen Corporation,52.37867,4.883832
NextGen Corporation,52.344418,4.891211
NextGen Corporation,52.366797999999996,4.893765
NextGen Corporation,52.383743,4.875805000000001
NextGen Corporation,52.390633,4.9140489999999994
NextGen Corporation,52.374103999999996,4.89364
NextGen Corporation,52.393269000000004,4.8670290000000005
NextGen Corporation,52.38398,4.918201
Pioneer Corporation,52.370895000000004,4.8703
Pioneer Corporation,52.371258000000005,4.861861
Pioneer Corporation,52.36253,4.925155999999999
Pioneer Corporation,52.392429,4.953769
Pioneer Corporation,52.378593,4.884162
Pioneer Corporation,52.378009999999996,4.847497
Pioneer Corporation,52.357304,4.891811
Pioneer Corporation,52.355019,4.826243
